scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
mrhof_lossless,0,1.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mrhof_lossless,0,1.0,2,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,3,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,4,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,5,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,6,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,7,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,8,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,9,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,10,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,11,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,12,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,13,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,14,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,15,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,16,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,17,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,18,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,19,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,20,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,21,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,22,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,23,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,24,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,1.0,25,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mrhof_lossless,0,11.0,2,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,3,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,4,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,5,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,6,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,7,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,8,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,9,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,10,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,11,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,12,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,13,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,14,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,15,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,16,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,17,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,18,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,19,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,20,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,21,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,22,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,23,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,24,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,11.0,25,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,21.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mrhof_lossless,0,21.0,2,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,21.0,3,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,21.0,4,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,21.0,5,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,21.0,6,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,21.0,7,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
mrhof_lossless,0,21.0,8,0,1.0,0.0,1.0,1.0,0.0,0,0,0.0
